0.0, 34, washer, 6.25, gfd10, busy
187.5, 22, washer, 6.25, epy29, busy
187.5, 25, dryer, 12.5, rjh95, busy
193.75, 27, dryer, 12.5, dld88, busy
193.75, 26, dryer, 12.5, scq75, busy
200.0, 39, dryer, 12.5, kqs50, busy
206.25, 23, washer, 6.25, cyw44, busy
206.25, 24, washer, 6.25, hcm74, busy
206.25, 40, dryer, 12.5, ksc78, busy
206.25, 30, dryer, 12.5, thm94, busy
206.25, 32, washer, 6.25, ybz09, busy
212.5, 33, washer, 6.25, flf29, busy
212.5, 24, washer, 6.25, pil05, busy
212.5, 40, dryer, 12.5, skj60, busy
212.5, 23, washer, 6.25, tis91, busy
212.5, 21, washer, 6.25, tuf07, busy
212.5, 25, dryer, 12.5, uzy66, busy
212.5, 37, dryer, 12.5, ytz96, busy
218.75, 34, washer, 6.25, qfc09, busy
218.75, 23, washer, 6.25, wju05, busy
231.25, 35, dryer, 12.5, cfy23, busy
231.25, 39, dryer, 12.5, dai21, busy
231.25, 37, dryer, 12.5, xoq77, busy
231.25, 21, washer, 6.25, xzu81, busy
237.5, 30, dryer, 12.5, foq09, busy
237.5, 25, dryer, 12.5, rkm76, busy
237.5, 25, dryer, 12.5, sng02, busy
250.0, 27, dryer, 12.5, hoh01, busy
250.0, 27, dryer, 12.5, qbo79, busy
250.0, 27, dryer, 12.5, wgi41, busy
250.0, 32, washer, 6.25, ztk23, busy
256.25, 33, washer, 6.25, egs62, busy
256.25, 25, dryer, 12.5, esp65, busy
256.25, 29, dryer, 12.5, exb95, busy
256.25, 32, washer, 6.25, hwx95, busy
256.25, 39, dryer, 12.5, qnd92, busy
256.25, 22, washer, 6.25, uuw35, busy
256.25, 26, dryer, 12.5, vij13, busy
256.25, 24, washer, 6.25, wqf66, busy
262.5, 21, washer, 6.25, ath47, busy
262.5, 37, dryer, 12.5, ehg13, busy
262.5, 24, washer, 6.25, zou07, busy
268.75, 26, dryer, 12.5, mai36, busy
275.0, 26, dryer, 12.5, llu52, busy
275.0, 37, dryer, 12.5, ouj95, busy
281.25, 25, dryer, 12.5, lbl22, busy
281.25, 28, dryer, 12.5, lik45, busy
281.25, 36, dryer, 12.5, ref23, busy
281.25, 37, dryer, 12.5, zce78, busy
287.5, 23, washer, 6.25, erw69, busy
287.5, 34, washer, 6.25, krb86, busy
293.75, 26, dryer, 12.5, atx59, busy
293.75, 26, dryer, 12.5, sjn51, busy
293.75, 31, washer, 6.25, tqj82, busy
